id,airlineId,source_id,tgt_id,plane_id
574,3545.0,6153.0,4029.0,734
575,3545.0,2948.0,2966.0,SU9
576,3545.0,6150.0,4029.0,734
577,3545.0,6485.0,4029.0,734
578,3545.0,2981.0,4029.0,734
579,3545.0,1743.0,4029.0,SU9
604,4608.0,6351.0,3379.0,321
605,4608.0,3370.0,3393.0,321
606,4608.0,3370.0,3395.0,321
607,4608.0,3370.0,2244.0,
608,4608.0,3375.0,4380.0,321
609,4608.0,3375.0,3393.0,321
610,4608.0,3375.0,3395.0,321
611,4608.0,3375.0,3386.0,320
612,4608.0,3375.0,3400.0,320
613,4608.0,3375.0,3382.0,320
614,4608.0,3375.0,3399.0,320
615,4608.0,4380.0,3375.0,321
616,4608.0,4380.0,3388.0,320
617,4608.0,4380.0,4108.0,321
618,4608.0,4380.0,3368.0,320
619,4608.0,3393.0,3370.0,321
620,4608.0,3393.0,3375.0,321
621,4608.0,3393.0,3371.0,319
622,4608.0,3393.0,3395.0,
623,4608.0,3393.0,4109.0,320
624,4608.0,3393.0,3404.0,320
625,4608.0,3393.0,6353.0,320
626,4608.0,3393.0,4120.0,319
627,4608.0,3393.0,3386.0,320
628,4608.0,3393.0,3179.0,321
629,4608.0,3393.0,4085.0,321
630,4608.0,3393.0,3384.0,319
631,4608.0,3393.0,3382.0,319
632,4608.0,3393.0,3378.0,319
633,4608.0,3393.0,4033.0,319
634,4608.0,3393.0,4097.0,319
635,4608.0,3393.0,3387.0,319
636,4608.0,3393.0,3388.0,319
637,4608.0,3393.0,3373.0,319
638,4608.0,3393.0,3364.0,321
639,4608.0,3393.0,3406.0,320
640,4608.0,3393.0,6435.0,319
641,4608.0,3393.0,4302.0,319
642,4608.0,3393.0,3361.0,
643,4608.0,3393.0,4030.0,320
644,4608.0,3393.0,3374.0,320
645,4608.0,3393.0,4108.0,321
646,4608.0,3393.0,2275.0,320
647,4608.0,3393.0,3368.0,319
648,4608.0,3393.0,3369.0,321
649,4608.0,3393.0,3399.0,320
650,4608.0,3393.0,3376.0,319
651,4608.0,3393.0,6390.0,319
652,4608.0,3393.0,3379.0,319
653,4608.0,3393.0,6366.0,320
654,4608.0,3393.0,6361.0,319
655,4608.0,3393.0,6357.0,319
656,4608.0,3371.0,3393.0,319
657,4608.0,3371.0,3395.0,320
658,4608.0,3371.0,3385.0,320
659,4608.0,3371.0,3382.0,320
660,4608.0,3371.0,4144.0,320
661,4608.0,3371.0,6392.0,319
662,4608.0,3371.0,3383.0,321
663,4608.0,3395.0,3370.0,321
664,4608.0,3395.0,3375.0,321
665,4608.0,3395.0,3393.0,
666,4608.0,3395.0,3371.0,320
667,4608.0,3395.0,9310.0,319
668,4608.0,3395.0,6434.0,319
669,4608.0,3395.0,4120.0,321
670,4608.0,3395.0,8407.0,319
671,4608.0,3395.0,6345.0,320
672,4608.0,3395.0,3389.0,321
673,4608.0,3395.0,3386.0,320
674,4608.0,3395.0,3077.0,320
675,4608.0,3395.0,3179.0,321
676,4608.0,3395.0,3930.0,321
677,4608.0,3395.0,4085.0,321
678,4608.0,3395.0,3381.0,319
679,4608.0,3395.0,8781.0,320
680,4608.0,3395.0,4301.0,319
681,4608.0,3395.0,3384.0,321
682,4608.0,3395.0,3382.0,320
683,4608.0,3395.0,6379.0,320
684,4608.0,3395.0,3394.0,320
685,4608.0,3395.0,3378.0,319
686,4608.0,3395.0,4033.0,319
687,4608.0,3395.0,6376.0,319
688,4608.0,3395.0,4097.0,319
689,4608.0,3395.0,6402.0,319
690,4608.0,3395.0,3339.0,
691,4608.0,3395.0,3388.0,319
692,4608.0,3395.0,3373.0,319
693,4608.0,3395.0,3364.0,321
694,4608.0,3395.0,3406.0,321
695,4608.0,3395.0,6435.0,319
696,4608.0,3395.0,4144.0,
697,4608.0,3395.0,6347.0,320
698,4608.0,3395.0,4030.0,321
699,4608.0,3395.0,3374.0,320
700,4608.0,3395.0,3390.0,321
701,4608.0,3395.0,4108.0,321
702,4608.0,3395.0,2275.0,320
703,4608.0,3395.0,3368.0,321
704,4608.0,3395.0,3369.0,319
705,4608.0,3395.0,3399.0,319
706,4608.0,3395.0,6392.0,320
707,4608.0,3395.0,3376.0,319
708,4608.0,3395.0,6390.0,320
709,4608.0,3395.0,6403.0,319
710,4608.0,3395.0,3396.0,320
711,4608.0,3395.0,3379.0,320
712,4608.0,3395.0,3383.0,320
713,4608.0,3395.0,6366.0,320
714,4608.0,3395.0,4149.0,320
715,4608.0,3395.0,6361.0,320
716,4608.0,3395.0,8876.0,319
717,4608.0,4109.0,3393.0,320
718,4608.0,4109.0,3400.0,321
719,4608.0,4109.0,3383.0,321
720,4608.0,4109.0,6355.0,320
721,4608.0,6344.0,3369.0,319
722,4608.0,9310.0,3395.0,319
723,4608.0,3404.0,3393.0,320
724,4608.0,3404.0,3386.0,320
725,4608.0,3404.0,3400.0,320
726,4608.0,3404.0,4108.0,321
727,4608.0,3404.0,4149.0,320
728,4608.0,4308.0,3378.0,319
729,4608.0,6434.0,3395.0,319
730,4608.0,6434.0,4144.0,319
731,4608.0,6353.0,3393.0,320
732,4608.0,6353.0,3388.0,319
733,4608.0,3385.0,3371.0,320
734,4608.0,3385.0,3379.0,319
735,4608.0,9311.0,4097.0,319
736,4608.0,9311.0,3379.0,319
737,4608.0,4120.0,3393.0,319
738,4608.0,4120.0,3395.0,321
739,4608.0,4120.0,3386.0,320
740,4608.0,4120.0,3387.0,321
741,4608.0,4120.0,6355.0,320
742,4608.0,8407.0,3395.0,319
743,4608.0,6345.0,3395.0,320
744,4608.0,3389.0,3395.0,321
745,4608.0,3386.0,3375.0,320
746,4608.0,3386.0,3393.0,320
747,4608.0,3386.0,3395.0,319
748,4608.0,3386.0,3404.0,320
749,4608.0,3386.0,4120.0,320
750,4608.0,3386.0,3394.0,320
751,4608.0,3386.0,3368.0,320
752,4608.0,3386.0,3369.0,320
753,4608.0,3077.0,3395.0,320
754,4608.0,3077.0,6361.0,320
755,4608.0,3077.0,6357.0,319
756,4608.0,3179.0,3393.0,321
757,4608.0,3179.0,3395.0,321
758,4608.0,3400.0,3375.0,320
759,4608.0,3400.0,4109.0,321
760,4608.0,3400.0,3404.0,320
761,4608.0,3400.0,4085.0,321
762,4608.0,3400.0,3387.0,321
763,4608.0,3400.0,3388.0,319
764,4608.0,3400.0,6954.0,321
765,4608.0,3400.0,6347.0,321
766,4608.0,3400.0,4108.0,320
767,4608.0,3400.0,3368.0,321
768,4608.0,3400.0,6392.0,321
769,4608.0,3400.0,3376.0,321
770,4608.0,3400.0,3379.0,321
771,4608.0,3400.0,4149.0,320
772,4608.0,3930.0,3395.0,321
773,4608.0,4085.0,3393.0,321
774,4608.0,4085.0,3395.0,321
775,4608.0,4085.0,3400.0,321
776,4608.0,4085.0,3372.0,320
777,4608.0,6432.0,3378.0,319
778,4608.0,3381.0,3395.0,319
779,4608.0,3381.0,3382.0,319
780,4608.0,8781.0,3395.0,320
781,4608.0,6386.0,3394.0,320
782,4608.0,6386.0,3376.0,319
783,4608.0,4301.0,3395.0,319
784,4608.0,3397.0,3399.0,319
785,4608.0,3384.0,3393.0,319
786,4608.0,3384.0,3395.0,321
787,4608.0,3384.0,3382.0,319
788,4608.0,3384.0,3387.0,321
789,4608.0,3382.0,3375.0,320
790,4608.0,3382.0,3393.0,319
791,4608.0,3382.0,3371.0,320
792,4608.0,3382.0,3395.0,320
793,4608.0,3382.0,3381.0,319
794,4608.0,3382.0,3384.0,319
795,4608.0,3382.0,3394.0,320
796,4608.0,3382.0,6376.0,319
797,4608.0,3382.0,3387.0,320
798,4608.0,3382.0,3388.0,320
799,4608.0,3382.0,3390.0,320
800,4608.0,3382.0,4108.0,320
801,4608.0,3382.0,2276.0,320
802,4608.0,3382.0,6403.0,320
803,4608.0,3382.0,3379.0,320
804,4608.0,3382.0,3383.0,320
805,4608.0,3382.0,4149.0,320
806,4608.0,6379.0,3395.0,320
807,4608.0,6379.0,3383.0,320
808,4608.0,3394.0,3395.0,320
809,4608.0,3394.0,3386.0,320
810,4608.0,3394.0,6386.0,320
811,4608.0,3394.0,3382.0,320
812,4608.0,3394.0,3378.0,321
813,4608.0,3394.0,4030.0,321
814,4608.0,3394.0,6392.0,320
815,4608.0,3394.0,4149.0,321
816,4608.0,3372.0,4085.0,320
817,4608.0,3372.0,6347.0,321
818,4608.0,3372.0,4030.0,320
819,4608.0,3378.0,3393.0,319
820,4608.0,3378.0,3395.0,319
821,4608.0,3378.0,4308.0,319
822,4608.0,3378.0,6432.0,319
823,4608.0,3378.0,3394.0,321
824,4608.0,3378.0,3368.0,321
825,4608.0,4033.0,3393.0,319
826,4608.0,4033.0,3395.0,319
827,4608.0,4033.0,6400.0,319
828,4608.0,6376.0,3395.0,319
829,4608.0,6376.0,3382.0,319
830,4608.0,4097.0,3393.0,319
831,4608.0,4097.0,3395.0,319
832,4608.0,4097.0,9311.0,319
833,4608.0,4097.0,3379.0,319
834,4608.0,4097.0,6366.0,319
835,4608.0,6385.0,3379.0,319
836,4608.0,6402.0,3395.0,319
837,4608.0,3339.0,3395.0,
838,4608.0,6400.0,4033.0,319
839,4608.0,6400.0,3388.0,319
840,4608.0,6400.0,4030.0,320
841,4608.0,6400.0,6366.0,320
842,4608.0,3387.0,3393.0,319
843,4608.0,3387.0,4120.0,321
844,4608.0,3387.0,3400.0,321
845,4608.0,3387.0,3384.0,321
846,4608.0,3387.0,3382.0,320
847,4608.0,3387.0,4144.0,321
848,4608.0,3387.0,4030.0,321
849,4608.0,3388.0,4380.0,320
850,4608.0,3388.0,3393.0,319
851,4608.0,3388.0,3395.0,319
852,4608.0,3388.0,6353.0,319
853,4608.0,3388.0,3400.0,319
854,4608.0,3388.0,3382.0,320
855,4608.0,3388.0,6400.0,319
856,4608.0,3388.0,4030.0,320
857,4608.0,3373.0,3393.0,319
858,4608.0,3373.0,3395.0,319
859,4608.0,3373.0,3205.0,320
860,4608.0,3373.0,3376.0,321
862,4608.0,6954.0,3400.0,321
863,4608.0,3364.0,3393.0,319
864,4608.0,3364.0,3395.0,321
865,4608.0,3364.0,6403.0,320
866,4608.0,3364.0,8043.0,320
867,4608.0,3406.0,3393.0,320
868,4608.0,3406.0,3395.0,321
869,4608.0,3406.0,2244.0,
870,4608.0,6435.0,3393.0,319
871,4608.0,6435.0,3395.0,319
872,4608.0,3205.0,3373.0,320
873,4608.0,4144.0,3371.0,320
874,4608.0,4144.0,3395.0,
875,4608.0,4144.0,6434.0,319
876,4608.0,4144.0,3387.0,321
877,4608.0,4144.0,3369.0,321
878,4608.0,4144.0,4149.0,320
879,4608.0,4144.0,156.0,
880,4608.0,6347.0,3395.0,320
881,4608.0,6347.0,3400.0,321
882,4608.0,6347.0,3372.0,321
883,4608.0,2244.0,3370.0,
884,4608.0,2244.0,3406.0,
885,4608.0,4302.0,3393.0,319
886,4608.0,3361.0,3393.0,
887,4608.0,4030.0,3393.0,320
888,4608.0,4030.0,3395.0,321
889,4608.0,4030.0,3394.0,321
890,4608.0,4030.0,3372.0,320
891,4608.0,4030.0,6400.0,320
892,4608.0,4030.0,3387.0,321
893,4608.0,4030.0,3388.0,320
894,4608.0,4030.0,4108.0,321
895,4608.0,4030.0,6392.0,321
896,4608.0,4030.0,4110.0,319
897,4608.0,3374.0,3393.0,320
898,4608.0,3374.0,3395.0,320
899,4608.0,3374.0,6403.0,319
900,4608.0,3390.0,3395.0,321
901,4608.0,3390.0,3382.0,320
902,4608.0,4108.0,4380.0,321
903,4608.0,4108.0,3393.0,321
904,4608.0,4108.0,3395.0,321
905,4608.0,4108.0,3404.0,321
906,4608.0,4108.0,3400.0,320
907,4608.0,4108.0,3382.0,320
908,4608.0,4108.0,4030.0,321
909,4608.0,4108.0,3379.0,320
910,4608.0,2276.0,3382.0,320
911,4608.0,2275.0,3393.0,320
912,4608.0,2275.0,3395.0,320
913,4608.0,3368.0,4380.0,320
914,4608.0,3368.0,3393.0,319
915,4608.0,3368.0,3395.0,321
916,4608.0,3368.0,3386.0,320
917,4608.0,3368.0,3400.0,321
918,4608.0,3368.0,3378.0,321
920,4608.0,3369.0,3393.0,321
921,4608.0,3369.0,3395.0,319
922,4608.0,3369.0,6344.0,319
923,4608.0,3369.0,3386.0,320
924,4608.0,3369.0,4144.0,321
926,4608.0,3399.0,3375.0,320
927,4608.0,3399.0,3393.0,320
928,4608.0,3399.0,3395.0,319
929,4608.0,3399.0,3397.0,319
930,4608.0,3399.0,3379.0,319
931,4608.0,6368.0,3379.0,319
932,4608.0,6392.0,3371.0,319
933,4608.0,6392.0,3395.0,320
934,4608.0,6392.0,3400.0,321
935,4608.0,6392.0,3394.0,320
936,4608.0,6392.0,4030.0,321
937,4608.0,3376.0,3393.0,319
938,4608.0,3376.0,3395.0,319
939,4608.0,3376.0,3400.0,321
940,4608.0,3376.0,6386.0,319
941,4608.0,3376.0,3373.0,321
943,4608.0,6390.0,3393.0,319
944,4608.0,6390.0,3395.0,320
945,4608.0,6403.0,3395.0,319
946,4608.0,6403.0,3382.0,320
947,4608.0,6403.0,3364.0,320
948,4608.0,6403.0,3374.0,319
949,4608.0,3396.0,3395.0,320
950,4608.0,3379.0,6351.0,321
951,4608.0,3379.0,3393.0,319
952,4608.0,3379.0,3395.0,320
953,4608.0,3379.0,3385.0,319
954,4608.0,3379.0,9311.0,319
955,4608.0,3379.0,3400.0,321
956,4608.0,3379.0,3382.0,320
957,4608.0,3379.0,4097.0,319
958,4608.0,3379.0,6385.0,319
959,4608.0,3379.0,4108.0,320
960,4608.0,3379.0,3399.0,319
961,4608.0,3379.0,6368.0,319
962,4608.0,3379.0,3383.0,319
963,4608.0,3379.0,6366.0,319
964,4608.0,3379.0,4110.0,319
965,4608.0,3383.0,3371.0,321
966,4608.0,3383.0,3395.0,320
967,4608.0,3383.0,4109.0,321
968,4608.0,3383.0,3382.0,320
969,4608.0,3383.0,6379.0,320
970,4608.0,3383.0,3379.0,319
971,4608.0,6366.0,3393.0,320
972,4608.0,6366.0,3395.0,320
973,4608.0,6366.0,4097.0,319
974,4608.0,6366.0,6400.0,320
975,4608.0,6366.0,3379.0,319
976,4608.0,6366.0,8043.0,320
977,4608.0,4149.0,3395.0,320
978,4608.0,4149.0,3404.0,320
979,4608.0,4149.0,3400.0,320
980,4608.0,4149.0,3382.0,320
981,4608.0,4149.0,3394.0,321
982,4608.0,4149.0,4144.0,320
983,4608.0,4110.0,4030.0,319
984,4608.0,4110.0,3379.0,319
985,4608.0,6361.0,3393.0,319
