id,name,ascii_name,lat,lon,country,population
814,Denpasar,Denpasar,-8.650000,115.220000,ID,732344
815,Sokoto,Sokoto,13.060000,5.240000,NG,732178
816,Beihai,Beihai,21.480400,109.100000,CN,728978
817,Bremen,Bremen,53.080000,8.800000,DE,724909
818,As Sulaymānīyah,As Sulaymaniyah,35.561300,45.430900,IQ,723170
819,Hannover,Hannover,52.367000,9.716700,DE,722490
820,Cúcuta,Cucuta,7.920000,-72.520000,CO,722146
821,Hamilton,Hamilton,43.250000,-79.830000,CA,721053
822,Moshi,Moshi,-3.339600,37.340000,TZ,721018
823,Shaoguan,Shaoguan,24.800000,113.580000,CN,720266
824,Kumamoto,Kumamoto,32.800900,130.700600,JP,718232
825,Dayton,Dayton,39.779700,-84.199800,US,718169
826,Xinpu,Xinpu,34.600400,119.170000,CN,715600
827,Acapulco de Juárez,Acapulco de Juarez,16.850000,-99.916000,MX,715584
828,Kandahār,Kandahar,31.610000,65.694900,AF,715542
829,Dehra Dūn,Dehra Dun,30.320400,78.050000,IN,714223
830,Rochester,Rochester,43.168000,-77.616200,US,711998
831,Jeonju,Jeonju,35.831400,127.140400,KR,711424
832,Samarkand,Samarkand,39.670000,66.945000,UZ,708000
833,Qingyuan,Qingyuan,23.700400,113.030100,CN,706717
834,Sarasota,Sarasota,27.338600,-82.543000,US,706245
835,Changzhi,Changzhi,36.183900,113.105300,CN,706000
836,Tol’yatti,Tol'yatti,53.480400,49.530000,RU,702879
837,Jaboatão,Jaboatao,-8.110000,-35.020000,BR,702621
838,Shizuoka,Shizuoka,34.985800,138.385400,JP,701561
839,Bulawayo,Bulawayo,-20.170000,28.580000,ZW,699385
840,Soledad,Soledad,10.920000,-74.770000,CO,698852
841,Fresno,Fresno,36.783100,-119.794100,US,698021
842,Meknès,Meknes,33.900400,-5.560000,MA,697628
843,La Plata,La Plata,-34.909600,-57.960000,AR,694253
844,Mālegaon,Malegaon,20.560400,74.525000,IN,690844
845,Enugu,Enugu,6.450000,7.500000,NG,688862
846,Huangshi,Huangshi,30.220000,115.100000,CN,688090
847,Aracaju,Aracaju,-10.900000,-37.120000,BR,685356
848,Allentown,Allentown,40.596100,-75.475500,US,682899
849,Bonn,Bonn,50.720500,7.080000,DE,680543
850,San Pedro Sula,San Pedro Sula,15.500000,-88.030000,HN,680091
851,Nellore,Nellore,14.440000,79.989900,IN,678004
852,Catania,Catania,37.500000,15.080000,IT,674542
853,Gorakhpur,Gorakhpur,26.750400,83.380000,IN,674246
854,Ipoh,Ipoh,4.600000,101.065000,MY,673318
855,Ch’ŏngjin,Ch'ongjin,41.784600,129.790000,KP,672614
856,Tulsa,Tulsa,36.128400,-95.904300,US,672054
857,Utsunomiya,Utsunomiya,36.550000,139.870000,JP,667752
858,Puyang Chengguanzhen,Puyang Chengguanzhen,35.700400,114.980000,CN,666322
859,An Najaf,An Najaf,32.000300,44.335400,IQ,665552
860,São José dos Pinhais,Sao Jose dos Pinhais,-25.570000,-49.180000,BR,665063
861,Santo André,Santo Andre,-23.652800,-46.527800,BR,662373
862,Bytom,Bytom,50.350000,18.910000,PL,662247
863,Pointe-Noire,Pointe-Noire,-4.770000,11.880000,CG,659084
864,Aţ Ţā’if,At Ta'if,21.262200,40.382300,SA,657282
865,Ismailia,Ismailia,30.590300,32.260000,EG,656135
866,Concord,Concord,37.972200,-122.001600,US,654770
867,Shimoga,Shimoga,13.930400,75.560000,IN,654055
868,Biên Hòa,Bien Hoa,10.970000,106.830100,VN,652646
869,Xiping,Xiping,25.600500,103.816600,CN,652604
870,Kryvyy Rih,Kryvyy Rih,47.928300,33.345000,UA,652380
871,Irbid,Irbid,32.550000,35.850000,JO,650000
872,Tiruppūr,Tiruppur,11.080400,77.330000,IN,650000
873,Andijon,Andijon,40.790000,72.340000,UZ,650000
874,Krasnodar,Krasnodar,45.020000,39.000000,RU,649851
875,Zaragoza,Zaragoza,41.650000,-0.890000,ES,649404
876,Genoa,Genoa,44.410000,8.930000,IT,647497
877,Diyarbakır,Diyarbakir,37.920400,40.230000,TR,644763
878,Morelia,Morelia,19.733400,-101.189500,MX,644306
879,Ul’yanovsk,Ul'yanovsk,54.330000,48.410000,RU,640680
880,Utrecht,Utrecht,52.100300,5.120000,NL,640000
881,Kikwit,Kikwit,-5.030000,18.850000,CD,637736
882,Al Hufūf,Al Hufuf,25.348700,49.585600,SA,637389
883,Yogyakarta,Yogyakarta,-7.780000,110.375000,ID,636660
884,Wrocław,Wroclaw,51.110400,17.030000,PL,634893
885,Winnipeg,Winnipeg,49.883000,-97.166000,CA,632063
886,Izhevsk,Izhevsk,56.850000,53.230000,RU,631038
887,Cape Coral,Cape Coral,26.644500,-81.995500,US,630134
888,Springfield,Springfield,42.115500,-72.539500,US,628076
889,Zhuozhou,Zhuozhou,39.540100,115.790000,CN,628000
890,Raurkela,Raurkela,22.230400,84.830000,IN,625831
891,Québec,Quebec,46.840000,-71.245600,CA,624177
892,Poznań,Poznan,52.405800,16.899900,PL,623997
893,Colorado Springs,Colorado Springs,38.867400,-104.760600,US,623946
894,Port Said,Port Said,31.260000,32.290000,EG,623864
895,Nānded,Nanded,19.170000,77.300000,IN,623708
896,Bannu,Bannu,32.989000,70.598600,PK,622419
897,Southend-on-Sea,Southend-on-Sea,51.550000,0.720000,GB,618386
898,Dresden,Dresden,51.050000,13.750000,DE,617515
899,Wiesbaden,Wiesbaden,50.080400,8.250000,DE,617126
900,Charleston,Charleston,32.815100,-79.963000,US,616085
901,Changping,Changping,40.224800,116.194400,CN,614821
902,Palu,Palu,-0.907000,119.833000,ID,612445
903,Taizhou,Taizhou,32.490400,119.900000,CN,612356
904,Xingtai,Xingtai,37.050000,114.500000,CN,611739
905,Samsun,Samsun,41.280000,36.343700,TR,609339
906,Luxor,Luxor,25.700000,32.650000,EG,609248
907,Belgaum,Belgaum,15.865000,74.505000,IN,608756
908,Pontianak,Pontianak,-0.030000,109.320000,ID,607311
909,Yaroslavl’,Yaroslavl',57.620000,39.870000,RU,606730
910,Constantine,Constantine,36.360000,6.599900,DZ,605179
911,Banjarmasin,Banjarmasin,-3.330000,114.580100,ID,603576
912,Grand Rapids,Grand Rapids,42.961500,-85.655700,US,602694
913,Kirkuk,Kirkuk,35.472200,44.392300,IQ,601433
914,Sāngli,Sangli,16.860400,74.575000,IN,601214
915,Barcelona,Barcelona,10.130400,-64.720000,VE,600954
916,Mission Viejo,Mission Viejo,33.609500,-117.655000,US,600474
917,Sūhāj,Suhaj,26.550400,31.700000,EG,600000
918,Al Manşūrah,Al Mansurah,31.050400,31.380000,EG,600000
919,Canoas,Canoas,-29.920000,-51.180000,BR,600000
920,Barnaul,Barnaul,53.355000,83.745000,RU,599579
921,Zāhedān,Zahedan,29.500000,60.830000,IR,598887
922,Jalālābād,Jalalabad,34.441500,70.436100,AF,597971
923,Albany,Albany,42.666400,-73.798700,US,597270
924,Chiclayo,Chiclayo,-6.762900,-79.836600,PE,596792
925,Hermosillo,Hermosillo,29.098900,-110.954100,MX,595811
926,Chānda,Chanda,19.970000,79.300000,IN,595118
927,Al Ḩillah,Al Hillah,32.472100,44.421700,IQ,594605
928,Al Ḩillah,Al Hillah,23.489500,46.756400,SA,594605
929,Rasht,Rasht,37.300000,49.630000,IR,594590
930,Nagano,Nagano,36.650000,138.170000,JP,594311
931,Vinh,Vinh,18.700000,105.680000,VN,593645
932,Abeokuta,Abeokuta,7.160400,3.350000,NG,593100
933,Kayseri,Kayseri,38.735000,35.490000,TR,592840
934,Samarinda,Samarinda,-0.500000,117.150000,ID,592228
935,Ajmer,Ajmer,26.450000,74.640000,IN,589985
936,Dortmund,Dortmund,51.530000,7.450000,DE,588462
937,Vladivostok,Vladivostok,43.130000,131.910000,RU,587022
938,Irkutsk,Irkutsk,52.320000,104.245000,RU,586695
939,Knoxville,Knoxville,35.969200,-83.949600,US,585249
940,Blantyre,Blantyre,-15.790000,34.989900,MW,584877
941,Baton Rouge,Baton Rouge,30.441900,-91.131000,US,583613
942,Anqing,Anqing,30.500000,117.050000,CN,580497
943,Cuttack,Cuttack,20.470000,85.889900,IN,580000
944,Hachiōji,Hachioji,35.657700,139.326100,JP,579399
945,Khabarovsk,Khabarovsk,48.455000,135.120000,RU,579000
946,Veracruz,Veracruz,19.177300,-96.160000,MX,578963
947,Kisangani,Kisangani,0.520000,25.220000,CD,578470
948,Kermān,Kerman,30.300000,57.080000,IR,577514
949,Orūmīyeh,Orumiyeh,37.530000,45.000000,IR,577307
950,Bīkaner,Bikaner,28.030400,73.329900,IN,576015
951,Quetzaltenango,Quetzaltenango,14.830000,-91.520000,GT,575263
952,Bakersfield,Bakersfield,35.353000,-119.035900,US,574362
953,Ogden,Ogden,41.228000,-111.967700,US,573632
954,Shihezi,Shihezi,44.300000,86.029900,CN,573182
955,Kuching,Kuching,1.530000,110.330000,MY,570407
956,Shuozhou,Shuozhou,39.300400,112.420000,CN,570000
957,Niigata,Niigata,37.920000,139.040000,JP,569797
958,Pereira,Pereira,4.810400,-75.680000,CO,568750
959,Macau,Macau,22.203000,113.545000,MO,568700
960,New Haven,New Haven,41.311200,-72.924600,US,568144
961,Bouaké,Bouake,7.690000,-5.030000,CI,567481
962,Columbia,Columbia,34.037600,-80.903700,US,566166
963,Akron,Akron,41.079800,-81.521900,US,565920
964,Binjai,Binjai,3.620400,98.500100,ID,564979
965,Uberlândia,Uberlandia,-18.900000,-48.280000,BR,563536
966,Sorocaba,Sorocaba,-23.490000,-47.470000,BR,563281
967,Wusong,Wusong,30.950400,117.780000,CN,562832
968,Weihai,Weihai,37.500000,122.100000,CN,560255
969,Mar del Plata,Mar del Plata,-38.000000,-57.580000,AR,555897
970,Santiago de Cuba,Santiago de Cuba,20.025000,-75.821300,CU,555865
971,Siping,Siping,43.170000,124.330000,CN,555609
972,Kagoshima,Kagoshima,31.586000,130.561100,JP,555352
973,Surakarta,Surakarta,-7.565000,110.825000,ID,555308
974,Makhachkala,Makhachkala,42.980000,47.500000,RU,554981
975,Bhāvnagar,Bhavnagar,21.778400,72.130000,IN,554978
976,Uyo,Uyo,5.008000,7.850000,NG,554906
977,Bristol,Bristol,51.450000,-2.583300,GB,553528
978,Bahawalpur,Bahawalpur,29.390000,71.675000,PK,552607
979,Kenitra,Kenitra,34.270400,-6.580000,MA,551786
980,Ribeirão Prêto,Ribeirao Preto,-21.170000,-47.830000,BR,551267
981,Kanazawa,Kanazawa,36.560000,136.640000,JP,551249
982,Orenburg,Orenburg,51.780000,55.110000,RU,550204
983,Málaga,Malaga,36.720400,-4.420000,ES,550058
984,Tabūk,Tabuk,28.383800,36.555000,SA,547957
985,Puerto La Cruz,Puerto La Cruz,10.170000,-64.680000,VE,546616
986,Jiujiang,Jiujiang,29.730000,115.980000,CN,545616
987,Hisar,Hisar,29.170000,75.725000,IN,544829
988,Kashgar,Kashgar,39.476300,75.969900,CN,543914
989,Matola,Matola,-25.969600,32.460000,MZ,543907
990,Bilāspur,Bilaspur,22.090400,82.160000,IN,543454
991,Sargodha,Sargodha,32.085400,72.675000,PK,542603
992,Leipzig,Leipzig,51.335400,12.410000,DE,542529
993,Tinnevelly,Tinnevelly,8.730400,77.690000,IN,542200
994,Cancún,Cancun,21.170000,-86.830000,MX,542043
995,Yangzhou,Yangzhou,32.400000,119.430000,CN,539715
996,Novokuznetsk,Novokuznetsk,53.750000,87.115000,RU,539616
997,Latakia,Latakia,35.540000,35.780000,SY,539147
998,Heroica Matamoros,Heroica Matamoros,25.880000,-97.500000,MX,538785
999,Göteborg,Goteborg,57.750000,12.000000,SE,537797
